Fournisseur,Code,Prix,Durée,Début,Fin,Catégorie,Zone,Camp Mina,Capacité,Places restantes (pas à jour),Date d'ajout,Nombre de guides, pélerins par guide,lien Nusuk
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z1000,15950.07,27,2024-05-28,2024-06-24,Standard,Zone D,AlMuaisim Camp,116,108,2024-02-27T14:35:26.9107111,8,15,https://hajj.nusuk.sa/sp/package/summary/8c120000-56b2-0050-0199-08dc37a15707
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z2000,15950.07,25,2024-05-30,2024-06-24,Standard,Zone D,AlMuaisim Camp,68,63,2024-02-27T14:40:17.8805289,5,15,https://hajj.nusuk.sa/sp/package/summary/383f0000-56b2-0050-7a1c-08dc37a20475
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z3000,15950.07,23,2024-06-01,2024-06-24,Standard,Zone D,AlMuaisim Camp,68,61,2024-02-27T14:07:39.0123623,7,10,https://hajj.nusuk.sa/sp/package/summary/38340000-56b2-0050-ea5c-08dc379d74e1
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z4000,15950.07,21,2024-06-03,2024-06-24,Standard,Zone D,AlMuaisim Camp,20,18,2024-02-27T14:45:24.9237648,2,10,https://hajj.nusuk.sa/sp/package/summary/24330000-56b2-0050-8e79-08dc37a2bb78
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z5000,15950.07,19,2024-06-05,2024-06-24,Standard,Zone C,AlMuaisim Camp,60,54,2024-02-27T13:55:27.1906125,6,10,https://hajj.nusuk.sa/sp/package/summary/343a0000-56b2-0050-c73a-08dc379bc0ae
Al Bait Guests for Pilgrims Services,Al Bait Gustes Z7000,15950.07,16,2024-06-07,2024-06-23,Standard,Zone D,AlMuaisim Camp,8,7,2024-02-27T13:47:26.313313,1,8,https://hajj.nusuk.sa/sp/package/summary/442b0000-56b2-0050-b9bc-08dc379aa20e
Al Bait Guests for Pilgrims Services,Z11000 Al Bait Gustes,15950.07,22,2024-06-10,2024-07-02,Standard,Zone D,AlMuaisim Camp,60,54,2024-02-27T13:15:28.1152325,6,10,https://hajj.nusuk.sa/sp/package/summary/cc240000-56b2-0050-ed36-08dc37962ab8
MCDC For Hajj And Umrah servises,MCDC9075JN,19777.0,14,2024-06-07,2024-06-21,Standard,Zone D,AlMuaisim Camp,32,31,2024-02-25T19:36:43.0764252,1,32,https://hajj.nusuk.sa/sp/package/summary/88190000-56b2-0050-80ca-08dc3639186f
MCDC For Hajj And Umrah servises,MCDC8888JN,19888.0,14,2024-06-07,2024-06-21,Standard,Zone C,AlMuaisim Camp,20,19,2024-02-27T01:14:25.3166088,1,20,https://hajj.nusuk.sa/sp/package/summary/383f0000-56b2-0050-bdfc-08dc37317015
Ithraa alkhair for pilgrims services,Ithraa Al Khair 52,19990.0,15,2024-06-10,2024-06-25,Standard,Zone A,AlMuaisim Camp,92,90,2024-02-15T18:11:45.9368199,2,50,https://hajj.nusuk.sa/sp/package/summary/98060000-56b2-0050-3905-08dc2e51922c
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,3Standard Value 2,19999.99,17,2024-06-07,2024-06-24,Standard,Zone D,AlMuaisim Camp,94,92,2024-02-23T21:21:31.4663278,2,48,https://hajj.nusuk.sa/sp/package/summary/c8220000-56b2-0050-2763-08dc34b567c8
Ithraa alkhair for pilgrims services,Ithraa Al Khair 62,20999.99,15,2024-06-10,2024-06-25,Standard,Zone A,AlMuaisim Camp,32,31,2024-02-21T21:32:59.7472148,1,32,https://hajj.nusuk.sa/sp/package/summary/d4950000-56b2-0050-fb85-08dc3324ad33
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Standard Value 2,21798.79,14,2024-06-10,2024-06-24,Standard,Zone D,AlMuaisim Camp,83,81,2024-02-23T21:10:43.518945,2,48,https://hajj.nusuk.sa/sp/package/summary/6c280000-56b2-0050-3ab8-08dc34b3e593
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Standard Value 2,21798.79,17,2024-06-07,2024-06-24,Standard,Zone D,AlMuaisim Camp,353,345,2024-02-16T10:59:56.5618044,8,48,https://hajj.nusuk.sa/sp/package/summary/b4820000-56b2-0050-1773-08dc2ede6965
Ithraa alkhair for pilgrims services,Ithraa Al Khair 51,21824.65,15,2024-06-10,2024-06-25,Standard,Zone A,AlMuaisim Camp,160,158,2024-02-10T13:40:54.581595,2,100,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-7585-08dc2a3de78b
Ithraa alkhair for pilgrims services,Ithraa Al Khair 48,21995.05,17,2024-06-07,2024-06-24,Standard,Zone C,AlMuaisim Camp,96,94,2024-02-10T14:44:04.8611258,2,48,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-37a5-08dc2a46baba
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury shifting Line 9,22210.0,25,2024-05-28,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,17,16,2024-02-23T13:26:38.6299291,1,17,https://hajj.nusuk.sa/sp/package/summary/c8220000-56b2-0050-598b-08dc347310ba
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 9,22210.0,25,2024-05-28,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,402,394,2024-02-23T12:17:38.735217,8,51,https://hajj.nusuk.sa/sp/package/summary/607b0000-56b2-0050-8c66-08dc34696d28
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 20,22400.81,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,47,46,2024-02-14T16:20:29.2459365,1,47,https://hajj.nusuk.sa/sp/package/summary/446e0000-56b2-0050-4b58-08dc2d78dc24
Ithraa alkhair for pilgrims services,Ithraa Al Khair 46,22532.13,17,2024-06-07,2024-06-24,Standard,Zone C,AlMuaisim Camp,84,82,2024-02-10T13:36:32.0442919,2,50,https://hajj.nusuk.sa/sp/package/summary/dc950000-56b2-0050-720c-08dc2a3d4b0f
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,4Luxury Line Shifting 21,22543.24,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,11,10,2024-02-24T18:17:50.0082038,1,11,https://hajj.nusuk.sa/sp/package/summary/e0280000-56b2-0050-db58-08dc3564e8e4
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Line Shifting 21,22543.52,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,16,15,2024-02-24T06:27:49.7696818,1,16,https://hajj.nusuk.sa/sp/package/summary/e0280000-56b2-0050-5226-08dc3501b92c
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,3 Luxury Line Shifting 21,22543.52,19,2024-06-09,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,110,108,2024-02-23T18:52:44.1587834,2,55,https://hajj.nusuk.sa/sp/package/summary/c8220000-56b2-0050-2073-08dc34a09eb1
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 22,22544.11,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,141,138,2024-02-14T16:26:59.4845742,3,48,https://hajj.nusuk.sa/sp/package/summary/2c490000-56b2-0050-fc1e-08dc2d79c4bd
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Shifting 8,22904.08,27,2024-05-28,2024-06-24,Luxury - Shifting,Zone A,AlMuaisim Camp,230,225,2024-02-23T12:12:00.2925047,5,48,https://hajj.nusuk.sa/sp/package/summary/58470000-56b2-0050-49f5-08dc3468a36e
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury shifting Line 8,22904.08,25,2024-05-28,2024-06-22,Luxury - Shifting,Zone A,AlMuaisim Camp,338,331,2024-02-22T21:40:48.379864,7,49,https://hajj.nusuk.sa/sp/package/summary/28580000-56b2-0050-666f-08dc33eeeef1
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 17,22909.72,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,428,419,2024-02-14T16:06:21.406416,9,48,https://hajj.nusuk.sa/sp/package/summary/48ab0000-56b2-0050-4014-08dc2d76e2ca
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 19,22909.72,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,46,45,2024-02-14T16:17:29.9250746,1,46,https://hajj.nusuk.sa/sp/package/summary/2c490000-56b2-0050-1a28-08dc2d787142
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 304,22958.55,24,2024-06-02,2024-06-26,Standard,Zone D,AlMuaisim Camp,264,258,2024-02-17T17:01:14.0714918,6,46,https://hajj.nusuk.sa/sp/package/summary/ec530000-56b2-0050-5184-08dc2fda0c9c
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 305,22958.55,21,2024-06-05,2024-06-26,Standard,Zone D,AlMuaisim Camp,204,199,2024-02-18T08:34:08.0116384,5,46,https://hajj.nusuk.sa/sp/package/summary/ac7e0000-56b2-0050-c687-08dc305c5fad
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 306,22958.55,17,2024-06-08,2024-06-25,Standard,Zone D,AlMuaisim Camp,196,191,2024-02-16T14:13:45.8320612,5,46,https://hajj.nusuk.sa/sp/package/summary/68590000-56b2-0050-e8cf-08dc2ef97cfa
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOZHA 307,22958.55,20,2024-06-05,2024-06-25,Standard,Zone D,AlMuaisim Camp,62,61,2024-02-19T12:38:15.5025087,1,62,https://hajj.nusuk.sa/sp/package/summary/5c3b0000-56b2-0050-42bb-08dc3147a4ad
Rawaf Mina Company for Pilgrimage Services,RAWAF AL SAFA 333,22958.55,19,2024-06-02,2024-06-21,Standard,Zone D,AlMuaisim Camp,172,168,2024-02-25T23:36:23.8505784,4,46,https://hajj.nusuk.sa/sp/package/summary/ac1b0000-56b2-0050-7f26-08dc365a940b
Rawaf Mina Company for Pilgrimage Services,RAWAF ALSAFA 312,22958.55,18,2024-06-05,2024-06-23,Standard,Zone D,AlMuaisim Camp,240,234,2024-02-19T12:24:00.6217318,6,46,https://hajj.nusuk.sa/sp/package/summary/185c0000-56b2-0050-ce45-08dc3145a720
Rawaf Mina Company for Pilgrimage Services,RAWAF AL SAFA 386,22962.04,22,2024-06-08,2024-06-30,Standard,Zone D,AlMuaisim Camp,8,7,2024-02-27T15:59:21.9291168,1,8,https://hajj.nusuk.sa/sp/package/summary/38340000-56b2-0050-d815-08dc37ad1021
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 18,23053.02,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-14T16:12:55.7571349,2,48,https://hajj.nusuk.sa/sp/package/summary/446e0000-56b2-0050-6502-08dc2d77cdd7
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Standard Value 1,23388.83,17,2024-06-07,2024-06-24,Standard,Zone D,AlMuaisim Camp,457,448,2024-02-16T10:41:31.3119213,9,51,https://hajj.nusuk.sa/sp/package/summary/60060000-56b2-0050-57e3-08dc2edbd69d
Ithraa alkhair for pilgrims services,Ithraa Al Khair 64,23576.01,22,2024-06-02,2024-06-24,Standard,Zone C,AlMuaisim Camp,60,59,2024-02-22T02:05:16.3660439,1,60,https://hajj.nusuk.sa/sp/package/summary/28360000-56b2-0050-3093-08dc334ab696
MCDC For Hajj And Umrah servises,MCDC3020JN,24081.98,16,2024-06-10,2024-06-26,Standard,Zone C,AlMuaisim Camp,48,47,2024-02-17T18:43:45.8152761,1,48,https://hajj.nusuk.sa/sp/package/summary/10130000-56b2-0050-ed0c-08dc2fe85f55
MCDC For Hajj And Umrah servises,MCDC1114AZ,24599.45,14,2024-06-07,2024-06-21,Standard,Zone D,AlMuaisim Camp,48,47,2024-02-18T11:06:12.3450971,1,48,https://hajj.nusuk.sa/sp/package/summary/24410000-56b2-0050-9251-08dc30719e34
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Shifting Line 21,24634.95,18,2024-06-10,2024-06-28,Luxury - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-24T08:01:27.5082148,2,48,https://hajj.nusuk.sa/sp/package/summary/0c290000-56b2-0050-319c-08dc350ecd9b
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 387,24930.93,22,2024-06-04,2024-06-26,Standard,Zone D,AlMuaisim Camp,16,15,2024-02-28T11:49:09.5290336,1,16,https://hajj.nusuk.sa/sp/package/summary/983f0000-56b2-0050-21dc-08dc38534675
Rawaf Mina Company for Pilgrimage Services,RAWAF LEGEND 310,24938.41,20,2024-06-02,2024-06-22,Standard,Zone D,AlMuaisim Camp,176,172,2024-02-19T11:32:00.5758923,4,46,https://hajj.nusuk.sa/sp/package/summary/fc3a0000-56b2-0050-97b9-08dc313e636f
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOOR 301,24939.9,20,2024-06-02,2024-06-22,Standard,Zone D,AlMuaisim Camp,40,39,2024-02-17T16:52:36.7900466,1,40,https://hajj.nusuk.sa/sp/package/summary/10130000-56b2-0050-6f12-08dc2fd8d849
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOOR 303,24939.9,14,2024-06-08,2024-06-22,Standard,Zone D,AlMuaisim Camp,300,293,2024-02-16T13:06:41.1569073,7,45,https://hajj.nusuk.sa/sp/package/summary/349c0000-56b2-0050-37a6-08dc2ef01e16
Rawaf Mina Company for Pilgrimage Services,RAWAF AL NOOR 377,24939.9,14,2024-06-07,2024-06-21,Standard,Zone D,AlMuaisim Camp,60,59,2024-02-26T22:48:35.2272979,1,60,https://hajj.nusuk.sa/sp/package/summary/24330000-56b2-0050-1240-08dc371d10a0
Rawaf Mina Company for Pilgrimage Services,RAWAF LEGEND 24,24939.9,17,2024-06-08,2024-06-25,Standard,Zone D,AlMuaisim Camp,108,105,2024-02-19T12:42:46.2490933,3,46,https://hajj.nusuk.sa/sp/package/summary/fc200000-56b2-0050-e92c-08dc3148460d
Rawaf Mina Company for Pilgrimage Services,RAWAF LEGEND 388,24939.9,19,2024-06-05,2024-06-24,Standard,Zone D,AlMuaisim Camp,36,35,2024-02-26T23:55:32.4163133,1,36,https://hajj.nusuk.sa/sp/package/summary/343a0000-56b2-0050-7825-08dc37266b0e
Rawaf Mina Company for Pilgrimage Services,RWAWF AL NOOR 308,24939.9,14,2024-06-08,2024-06-22,Standard,Zone D,AlMuaisim Camp,72,71,2024-02-25T23:55:44.1937985,1,72,https://hajj.nusuk.sa/sp/package/summary/1c190000-56b2-0050-d22b-08dc365d47a9
Rawaf Mina Company for Pilgrimage Services,RWAWF AL NOOR 320,24939.9,20,2024-06-05,2024-06-25,Standard,Zone D,AlMuaisim Camp,264,258,2024-02-25T21:35:43.1614847,6,46,https://hajj.nusuk.sa/sp/package/summary/f0300000-56b2-0050-057b-08dc3649b842
Rawaf Mina Company for Pilgrimage Services,RWAWF AL NOOR 368,24939.9,15,2024-06-07,2024-06-22,Standard,Zone D,AlMuaisim Camp,164,160,2024-02-26T21:46:53.0903534,4,46,https://hajj.nusuk.sa/sp/package/summary/8c120000-56b2-0050-cddc-08dc371471fa
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 319,24939.9,15,2024-06-08,2024-06-23,Standard,Zone D,AlMuaisim Camp,168,164,2024-02-26T10:51:52.6010284,4,46,https://hajj.nusuk.sa/sp/package/summary/f01c0000-56b2-0050-099b-08dc36b8f110
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 380,24939.9,18,2024-06-06,2024-06-24,Standard,Zone D,AlMuaisim Camp,108,106,2024-02-27T11:50:26.2925199,2,54,https://hajj.nusuk.sa/sp/package/summary/442b0000-56b2-0050-8f7f-08dc378a49cc
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 381,24939.9,12,2024-06-10,2024-06-22,Standard,Zone D,AlMuaisim Camp,68,67,2024-02-27T11:44:02.7971476,1,68,https://hajj.nusuk.sa/sp/package/summary/cc240000-56b2-0050-cf74-08dc37896537
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 389,24939.9,18,2024-06-07,2024-06-25,Standard,Zone D,AlMuaisim Camp,56,55,2024-02-28T13:37:01.7255131,1,56,https://hajj.nusuk.sa/sp/package/summary/28460000-56b2-0050-f0c6-08dc3862582f
Rawaf Mina Company for Pilgrimage Services,RWAWF LEGEND 382,24941.4,14,2024-06-11,2024-06-25,Standard,Zone D,AlMuaisim Camp,140,138,2024-02-27T11:45:27.6957009,2,70,https://hajj.nusuk.sa/sp/package/summary/442b0000-56b2-0050-4d46-08dc378997d2
Dur Hospitality company,DUR Standard 4,25104.8,19,2024-06-05,2024-06-24,Standard,None,AlMuaisim Camp,480,470,2024-02-21T10:42:22.2786433,10,49,https://hajj.nusuk.sa/sp/package/summary/bc790000-56b2-0050-ff7c-08dc32c9c90e
Dur Hospitality company,DUR Standard 5,25104.8,19,2024-06-05,2024-06-24,Standard,None,AlMuaisim Camp,128,125,2024-02-21T10:52:46.6065262,3,49,https://hajj.nusuk.sa/sp/package/summary/bc790000-56b2-0050-df66-08dc32cb3d2f
Dur Hospitality company,DUR Standard 7,25104.8,18,2024-06-08,2024-06-26,Standard,None,AlMuaisim Camp,480,470,2024-02-21T11:06:24.481997,10,49,https://hajj.nusuk.sa/sp/package/summary/7c4d0000-56b2-0050-c3e3-08dc32cd24ad
Dur Hospitality company,DUR Standard 8,25104.8,18,2024-06-08,2024-06-26,Standard,None,AlMuaisim Camp,152,148,2024-02-21T11:16:47.1142105,4,49,https://hajj.nusuk.sa/sp/package/summary/1c480000-56b2-0050-e6d3-08dc32ce97cb
Rifad Co,Rifad World Fourth,25131.55,22,2024-06-06,2024-06-28,Standard,Zone C,AlMuaisim Camp,520,508,2024-02-25T20:38:57.9343312,12,45,https://hajj.nusuk.sa/sp/package/summary/5c350000-56b2-0050-97b7-08dc3641ca95
MCDC For Hajj And Umrah servises,MCDC5000RV,25164.47,18,2024-06-09,2024-06-27,Standard,Zone B,AlMuaisim Camp,364,357,2024-02-08T09:19:53.8571506,7,55,https://hajj.nusuk.sa/sp/package/summary/d4020000-56b2-0050-0ce8-08dc28871c33
MCDC For Hajj And Umrah servises,MCDC5005RV,25164.47,17,2024-06-10,2024-06-27,Standard,Zone B,AlMuaisim Camp,312,306,2024-02-11T15:26:13.1548903,6,60,https://hajj.nusuk.sa/sp/package/summary/cc630000-56b2-0050-fad8-08dc2b15c81e
MCDC For Hajj And Umrah servises,MCDC5010RV,25164.47,17,2024-06-10,2024-06-27,Standard,Zone B,AlMuaisim Camp,52,51,2024-02-13T23:55:21.6230812,1,52,https://hajj.nusuk.sa/sp/package/summary/fc960000-56b2-0050-cd98-08dc2cef3d40
Rifad Co,Rifad World Sixth,25210.07,16,2024-06-10,2024-06-26,Standard,Zone C,AlMuaisim Camp,80,79,2024-02-26T13:52:09.3581712,1,80,https://hajj.nusuk.sa/sp/package/summary/402d0000-56b2-0050-317d-08dc36d2205a
Dur Hospitality company,DUR Standard  2,25232.33,20,2024-06-02,2024-06-22,Standard,Zone B,AlMuaisim Camp,68,66,2024-02-21T10:24:14.8338027,2,49,https://hajj.nusuk.sa/sp/package/summary/9c650000-56b2-0050-155c-08dc32c740e4
Dur Hospitality company,DUR Standard 1,25232.33,20,2024-06-02,2024-06-22,Standard,Zone B,AlMuaisim Camp,252,246,2024-02-21T09:42:42.8468832,6,49,https://hajj.nusuk.sa/sp/package/summary/68670000-56b2-0050-0e3b-08dc32c1738d
Ithraa alkhair for pilgrims services,Ithraa Al Khair 43,25413.81,19,2024-06-08,2024-06-27,Standard,Zone C,AlMuaisim Camp,192,189,2024-02-10T13:20:30.9538262,3,70,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-add3-08dc2a3b0e34
Ithraa alkhair for pilgrims services,Ithraa Al Khair 47,25482.96,22,2024-06-02,2024-06-24,Standard,Zone C,AlMuaisim Camp,140,137,2024-02-10T14:37:48.3514259,3,48,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-6590-08dc2a45da4f
Ithraa alkhair for pilgrims services,Ithraa Al Khair 63,25596.36,19,2024-06-04,2024-06-23,Standard,Zone C,AlMuaisim Camp,100,98,2024-02-22T01:54:06.5704736,2,50,https://hajj.nusuk.sa/sp/package/summary/68670000-56b2-0050-7f05-08dc3349275b
Rifad Co,Rifad Alshohda,25656.06,18,2024-06-04,2024-06-22,Standard - Shifting,None,AlMuaisim Camp,400,392,2024-02-15T13:13:37.8626575,8,50,https://hajj.nusuk.sa/sp/package/summary/cc470000-56b2-0050-b7f7-08dc2e27ec0c
Ithraa alkhair for pilgrims services,Ithraa Al Khair 42,25658.93,16,2024-06-09,2024-06-25,Standard,Zone C,AlMuaisim Camp,72,71,2024-02-10T13:25:59.9689781,1,72,https://hajj.nusuk.sa/sp/package/summary/c4aa0000-56b2-0050-6823-08dc2a3bd250
Dur Hospitality company,DUR Standard 3,25659.92,22,2024-06-02,2024-06-24,Standard,Zone B,AlMuaisim Camp,412,403,2024-02-11T16:05:36.416136,9,49,https://hajj.nusuk.sa/sp/package/summary/dc2a0000-56b2-0050-0733-08dc2b1b48bc
Dur Hospitality company,DUR Standard 6,25659.92,21,2024-06-05,2024-06-26,Standard,Zone B,AlMuaisim Camp,124,121,2024-02-21T09:14:42.9487811,3,49,https://hajj.nusuk.sa/sp/package/summary/bc790000-56b2-0050-f2bf-08dc32bd8a40
Dur Hospitality company,DUR Standard Shifting 2,25776.58,19,2024-06-08,2024-06-27,Standard - Shifting,Zone A,AlMuaisim Camp,100,98,2024-02-21T12:05:28.5839327,2,50,https://hajj.nusuk.sa/sp/package/summary/1c480000-56b2-0050-cddc-08dc32d56520
Rifad Co,Rifad World First,25819.16,23,2024-06-02,2024-06-25,Standard,Zone C,AlMuaisim Camp,200,198,2024-02-14T19:13:40.7988142,2,100,https://hajj.nusuk.sa/sp/package/summary/90500000-56b2-0050-6d9e-08dc2d910dfd
Rifad Co,Rifad World Second,25819.16,20,2024-06-05,2024-06-25,Standard,Zone C,AlMuaisim Camp,200,198,2024-02-21T17:53:41.7135411,2,100,https://hajj.nusuk.sa/sp/package/summary/1c480000-56b2-0050-6132-08dc33060a67
Rifad Co,Rifad World Third,25819.16,17,2024-06-08,2024-06-25,Standard,Zone C,AlMuaisim Camp,200,198,2024-02-19T14:03:38.8729636,2,100,https://hajj.nusuk.sa/sp/package/summary/5c3b0000-56b2-0050-8d1f-08dc31539271
MCDC For Hajj And Umrah servises,MCDC1140SAK,25840.57,16,2024-06-07,2024-06-23,Standard,Zone B,AlMuaisim Camp,52,51,2024-02-18T12:31:51.5920719,1,52,https://hajj.nusuk.sa/sp/package/summary/24410000-56b2-0050-6d45-08dc307d956f
Rifad Co,Rifad World Fifth,26031.27,16,2024-06-10,2024-06-26,Standard,Zone C,AlMuaisim Camp,164,162,2024-02-26T13:02:11.2084188,2,82,https://hajj.nusuk.sa/sp/package/summary/40290000-56b2-0050-d8c5-08dc36cb2550
Dur Hospitality company,DUR Shifting,26099.74,22,2024-06-02,2024-06-24,Standard - Shifting,Zone A,AlMuaisim Camp,800,783,2024-02-21T11:50:55.3000476,17,49,https://hajj.nusuk.sa/sp/package/summary/9c650000-56b2-0050-4212-08dc32d35c9c
