Fournisseur,Code,Prix,Durée,Début,Fin,Catégorie,Zone,Camp Mina,Capacité,Places restantes (pas à jour),Date d'ajout,Nombre de guides, pélerins par guide,lien Nusuk
Al Bait Guests for Pilgrims Services,A17000 Premium Non Shifting Classic,38950.06,13,2024-06-07,2024-06-20,Premium,Zone A,AlMuaisim Camp,149,145,2024-02-15T00:18:07.2598399,4,46,https://hajj.nusuk.sa/sp/package/summary/2c490000-56b2-0050-2f6e-08dc2dbb95a6
Al Bait Guests for Pilgrims Services,A14100 Premium Non Shifting Classic,38950.07,13,2024-06-07,2024-06-20,Premium,Zone A,AlMuaisim Camp,90,88,2024-02-15T00:13:35.2638899,2,46,https://hajj.nusuk.sa/sp/package/summary/64490000-56b2-0050-e5a7-08dc2dbaf386
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2 Luxury Line 3,39090.72,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,49,48,2024-02-23T22:52:06.8481959,1,49,https://hajj.nusuk.sa/sp/package/summary/38780000-56b2-0050-9b9c-08dc34c20f85
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Line 3,39283.88,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,77,76,2024-02-14T01:45:59.8862114,1,77,https://hajj.nusuk.sa/sp/package/summary/84380000-56b2-0050-5f0a-08dc2cfeb1f7
Al Burj International Company,Al Burj Premium Shifting Package AB4000,39394.17,22,2024-06-09,2024-07-01,Premium - Shifting,Zone A,AlMuaisim Camp,282,276,2024-02-19T12:31:35.7459275,6,47,https://hajj.nusuk.sa/sp/package/summary/dc820000-56b2-0050-3f39-08dc3146b667
SEERA GROUP HOLDING,MAW Elite SEA 300,39499.99,17,2024-06-09,2024-06-26,Luxury - Shifting,None,Majar AlKabsh Camp,130,129,2024-02-15T13:13:43.877236,1,130,https://hajj.nusuk.sa/sp/package/summary/2c970000-56b2-0050-786c-08dc2e27efa2
SEERA GROUP HOLDING,MAW Elite SEA 400,39499.99,23,2024-06-10,2024-07-03,Luxury - Shifting,None,Majar AlKabsh Camp,130,129,2024-02-15T18:02:15.3794153,1,130,https://hajj.nusuk.sa/sp/package/summary/2c970000-56b2-0050-125d-08dc2e503e18
SEERA GROUP HOLDING,MAW Elite SEA 4,39500.0,23,2024-06-10,2024-07-03,Luxury - Shifting,None,Majar AlKabsh Camp,50,49,2024-02-15T18:23:04.565183,1,50,https://hajj.nusuk.sa/sp/package/summary/0c3e0000-56b2-0050-b16b-08dc2e5326aa
SEERA GROUP HOLDING,MAW Elite SEA 40,39500.0,23,2024-06-10,2024-07-03,Luxury - Shifting,None,Majar AlKabsh Camp,65,64,2024-02-15T17:19:33.7506024,1,65,https://hajj.nusuk.sa/sp/package/summary/f0520000-56b2-0050-88e6-08dc2e4a473e
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,2Luxury Line 4,39510.0,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,99,97,2024-02-24T17:43:44.8577124,2,50,https://hajj.nusuk.sa/sp/package/summary/782e0000-56b2-0050-a852-08dc356025e3
Ithraa alkhair for pilgrims services,Ithraa Al Khair 15,39574.22,20,2024-06-10,2024-06-30,Luxury - Shifting,None,AlMuaisim Camp,500,490,2024-02-10T13:40:20.656531,10,50,https://hajj.nusuk.sa/sp/package/summary/c4aa0000-56b2-0050-e7aa-08dc2a3dd352
Ithraa alkhair for pilgrims services,Ithraa Al Khair 16,39574.22,20,2024-06-11,2024-07-01,Luxury - Shifting,None,AlMuaisim Camp,500,492,2024-02-10T13:47:07.5709269,8,65,https://hajj.nusuk.sa/sp/package/summary/d4810000-56b2-0050-1d53-08dc2a3ec5dd
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,3Luxury Line 3,39837.16,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,61,60,2024-02-24T17:31:59.272289,1,61,https://hajj.nusuk.sa/sp/package/summary/904d0000-56b2-0050-ddc7-08dc355e8153
Al Bait Guests for Pilgrims Services,A14000 Premium Non Shifting Classic,39950.06,16,2024-06-07,2024-06-23,Premium,Zone A,AlMuaisim Camp,165,161,2024-02-26T11:02:48.0301865,4,42,https://hajj.nusuk.sa/sp/package/summary/50080000-56b2-0050-9715-08dc36ba77ba
Al Bait Guests for Pilgrims Services,A4000 Luxury Non Shifting Classic,39950.07,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,240,234,2024-02-15T00:11:10.602091,6,46,https://hajj.nusuk.sa/sp/package/summary/3c060000-56b2-0050-422c-08dc2dba9d4d
Al Bait Guests for Pilgrims Services,A2000 Luxury Non Shifting Extended,39950.08,18,2024-06-02,2024-06-20,Luxury,Zone A,AlMuaisim Camp,240,234,2024-02-26T20:53:01.7530999,6,42,https://hajj.nusuk.sa/sp/package/summary/38340000-56b2-0050-de50-08dc370cebf3
Al Bait Guests for Pilgrims Services,A12000 Luxury Non Shifting Express,39950.53,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,255,249,2024-02-14T23:33:00.0624831,6,46,https://hajj.nusuk.sa/sp/package/summary/14220000-56b2-0050-a6ba-08dc2db54808
Al Bait Guests for Pilgrims Services,C2000 Luxury Shifting Classic,39950.54,16,2024-06-06,2024-06-22,Luxury - Shifting,Zone A,Majar AlKabsh Camp,305,299,2024-02-26T23:43:31.2715926,6,60,https://hajj.nusuk.sa/sp/package/summary/442e0000-56b2-0050-848b-08dc3724bd38
Al Bait Guests for Pilgrims Services,D2100 Luxury Shifting Classic,39950.56,17,2024-06-06,2024-06-23,Luxury - Shifting,Zone A,Majar AlKabsh Camp,190,186,2024-02-26T22:56:22.242432,4,50,https://hajj.nusuk.sa/sp/package/summary/343a0000-56b2-0050-ece8-08dc371e26fc
MCDC For Hajj And Umrah servises,MCDC1003OM,39984.76,15,2024-06-09,2024-06-24,Luxury,Zone A,AlMuaisim Camp,100,98,2024-02-15T01:24:18.7729304,2,50,https://hajj.nusuk.sa/sp/package/summary/2c930000-56b2-0050-fd81-08dc2dc4d4da
Company AL RAJHI LIKHDEMAT AL TAJARIA MASANDA,Luxury Line 4,39999.99,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,155,152,2024-02-19T17:32:52.6922407,3,52,https://hajj.nusuk.sa/sp/package/summary/88980000-56b2-0050-5a96-08dc3170cd1a
Ithraa alkhair for pilgrims services,Ithraa Al Khair 53,40552.42,17,2024-06-10,2024-06-27,Premium,Zone C,Majar AlKabsh Camp,192,190,2024-02-10T13:48:22.9333524,2,100,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-8202-08dc2a3ef2c8
Al Bait Guests for Pilgrims Services,B3100 Premium Non Shifting Classic,40950.53,15,2024-06-06,2024-06-21,Premium,Zone A,Majar AlKabsh Camp,179,175,2024-02-25T19:32:20.0842022,4,47,https://hajj.nusuk.sa/sp/package/summary/b8190000-56b2-0050-1311-08dc36387bae
Al Bait Guests for Pilgrims Services,B4100 Premium Non Shifting Classic,40950.53,14,2024-06-10,2024-06-24,Premium,Zone A,Majar AlKabsh Camp,226,221,2024-02-25T19:54:49.9976176,5,47,https://hajj.nusuk.sa/sp/package/summary/f0300000-56b2-0050-83e9-08dc363ba04a
Al Burj International Company,Al Burj Premium Shifting Package AB3000,42460.9,22,2024-06-09,2024-07-01,Premium - Shifting,Zone A,AlMuaisim Camp,94,92,2024-02-19T19:16:00.8662507,2,47,https://hajj.nusuk.sa/sp/package/summary/fc7c0000-56b2-0050-c5c8-08dc317f358a
Ithraa alkhair for pilgrims services,Ithraa Al Khair 29,42812.92,20,2024-06-07,2024-06-27,Premium,Zone C,AlMuaisim Camp,18,17,2024-02-10T13:45:29.1641273,1,18,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-6dad-08dc2a3e8b35
Al Bait Guests for Pilgrims Services,B2100 Premium Non Shifting Extended,42950.53,18,2024-06-02,2024-06-20,Premium,Zone A,Majar AlKabsh Camp,140,137,2024-02-25T20:55:40.095927,3,47,https://hajj.nusuk.sa/sp/package/summary/b8190000-56b2-0050-5113-08dc36441feb
MCDC For Hajj And Umrah servises,MCDC1175EDM,43423.41,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,48,47,2024-02-21T00:38:27.5638238,1,48,https://hajj.nusuk.sa/sp/package/summary/fc400000-56b2-0050-4bc8-08dc32756b7c
Al Bait Guests for Pilgrims Services,A3000 Luxury Non Shifting Classic,43950.53,15,2024-06-06,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,50,49,2024-02-26T20:03:56.9922556,1,50,https://hajj.nusuk.sa/sp/package/summary/383b0000-56b2-0050-05e6-08dc370610bd
Ithraa alkhair for pilgrims services,Ithraa Al Khair 20,44272.62,18,2024-06-09,2024-06-27,Premium,Zone C,AlMuaisim Camp,52,51,2024-02-10T13:17:06.9652239,1,52,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-7d0a-08dc2a3a949e
Ithraa alkhair for pilgrims services,Ithraa Al Khair 21,44658.45,14,2024-06-10,2024-06-24,Luxury,None,AlMuaisim Camp,400,392,2024-02-10T13:18:47.5148571,8,50,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-2518-08dc2a3ad08d
Al Bait Guests for Pilgrims Services,D3000 Luxury Non Shifting Express,44954.08,11,2024-06-10,2024-06-21,Luxury,Zone A,AlMuaisim Camp,239,233,2024-02-15T17:11:07.0499748,6,47,https://hajj.nusuk.sa/sp/package/summary/0c3e0000-56b2-0050-2793-08dc2e49193a
Ithraa alkhair for pilgrims services,Ithraa Al Khair 09,45178.7,24,2024-05-27,2024-06-20,Luxury - Shifting,Zone A,AlMuaisim Camp,98,96,2024-02-10T13:43:43.0718825,2,49,https://hajj.nusuk.sa/sp/package/summary/f0750000-56b2-0050-0961-08dc2a3e4bf9
Ithraa alkhair for pilgrims services,Ithraa Al Khair 19,45244.61,14,2024-06-10,2024-06-24,Luxury,None,AlMuaisim Camp,56,55,2024-02-10T13:14:52.3807674,1,56,https://hajj.nusuk.sa/sp/package/summary/3c820000-56b2-0050-8793-08dc2a3a4466
Al Burj International Company,Al Burj DS Deluxe A Package,45487.1,14,2024-06-07,2024-06-21,Luxury - Shifting,Zone A,Majar AlKabsh Camp,140,137,2024-02-20T16:53:32.4896824,3,47,https://hajj.nusuk.sa/sp/package/summary/a46e0000-56b2-0050-c627-08dc323478b9
Al Burj International Company,Al Burj DS Deluxe B Package,45487.1,14,2024-06-09,2024-06-23,Luxury - Shifting,Zone A,Majar AlKabsh Camp,300,293,2024-02-21T09:41:27.0749342,7,47,https://hajj.nusuk.sa/sp/package/summary/5c830000-56b2-0050-2c8e-08dc32c14663
Al Burj International Company,Al Burj Luxury Package AB1000,45727.62,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,329,322,2024-02-16T21:11:54.8577416,7,47,https://hajj.nusuk.sa/sp/package/summary/a4700000-56b2-0050-6a87-08dc2f33e734
Ithraa alkhair for pilgrims services,Ithraa Al Khair 25,45779.34,21,2024-06-02,2024-06-23,Premium,Zone C,AlMuaisim Camp,16,15,2024-02-10T13:39:38.5995849,1,16,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-8641-08dc2a3dba41
Ithraa alkhair for pilgrims services,Ithraa Al Khair 28,45859.69,20,2024-06-07,2024-06-27,Premium,Zone C,AlMuaisim Camp,18,17,2024-02-10T13:44:17.1951811,1,18,https://hajj.nusuk.sa/sp/package/summary/20190000-56b2-0050-d6c2-08dc2a3e604f
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,HFC Hajj Jameel Saja,45931.19,14,2024-06-07,2024-06-21,Luxury,Zone A,AlMuaisim Camp,300,296,2024-02-19T09:37:48.3891835,4,75,https://hajj.nusuk.sa/sp/package/summary/b0830000-56b2-0050-e073-08dc312e6f36
Ithraa alkhair for pilgrims services,Ithraa Al Khair 26,46500.03,17,2024-06-07,2024-06-24,Luxury,Zone C,AlMuaisim Camp,52,51,2024-02-10T13:41:14.1696055,1,52,https://hajj.nusuk.sa/sp/package/summary/20190000-56b2-0050-5a36-08dc2a3df338
Ithraa alkhair for pilgrims services,Ithraa Al Khair 27,46500.03,18,2024-06-07,2024-06-25,Luxury,Zone C,AlMuaisim Camp,18,17,2024-02-10T13:42:47.943492,1,18,https://hajj.nusuk.sa/sp/package/summary/c4aa0000-56b2-0050-1c8f-08dc2a3e2b1d
Ithraa alkhair for pilgrims services,Ithraa Al Khair 22,46500.53,20,2024-06-02,2024-06-22,Luxury,Zone C,AlMuaisim Camp,72,71,2024-02-10T13:21:51.9003087,1,72,https://hajj.nusuk.sa/sp/package/summary/dc950000-56b2-0050-21a4-08dc2a3b3e74
Ithraa alkhair for pilgrims services,Ithraa Al Khair 24,46500.85,16,2024-06-07,2024-06-23,Luxury,Zone C,AlMuaisim Camp,18,17,2024-02-10T13:34:19.0248783,1,18,https://hajj.nusuk.sa/sp/package/summary/dc950000-56b2-0050-4b3c-08dc2a3cfbc6
Al Bait Guests for Pilgrims Services,D1000 Luxury Non Shifting Classic,46954.08,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,156,152,2024-02-18T12:37:55.8067139,4,46,https://hajj.nusuk.sa/sp/package/summary/8c210000-56b2-0050-2bbe-08dc307e6e86
Al Bait Guests for Pilgrims Services,D1001 Luxury Non Shifting Classic,46954.08,13,2024-06-10,2024-06-23,Luxury,Zone A,AlMuaisim Camp,71,69,2024-02-19T17:28:23.1553181,2,46,https://hajj.nusuk.sa/sp/package/summary/5c3b0000-56b2-0050-489b-08dc31702c72
Ithraa alkhair for pilgrims services,Ithraa Al Khair 34,47496.19,13,2024-06-07,2024-06-20,Luxury,Zone A,AlMuaisim Camp,80,79,2024-02-10T13:48:09.4990379,1,80,https://hajj.nusuk.sa/sp/package/summary/c4aa0000-56b2-0050-981a-08dc2a3eeac6
SEERA GROUP HOLDING,MAW Elite DST 0003,47500.0,14,2024-06-10,2024-06-24,Luxury - Shifting,Zone A,Majar AlKabsh Camp,200,196,2024-03-04T09:29:22.1343335,4,50,https://hajj.nusuk.sa/sp/package/summary/f0500000-56b2-0050-0450-08dc3c2d933f
Ithraa alkhair for pilgrims services,Ithraa Al Khair 60,47669.7,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,96,94,2024-02-17T15:32:35.0772761,2,48,https://hajj.nusuk.sa/sp/package/summary/380c0000-56b2-0050-3604-08dc2fcdaa3e
Ithraa alkhair for pilgrims services,Ithraa Al Khair 32,47669.73,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,48,47,2024-02-10T13:42:01.2944651,1,48,https://hajj.nusuk.sa/sp/package/summary/20190000-56b2-0050-0909-08dc2a3e0f4f
MCDC For Hajj And Umrah servises,MCDC1063HJ,47677.96,13,2024-06-10,2024-06-23,Luxury,Zone A,Majar AlKabsh Camp,52,51,2024-02-17T01:35:38.4380419,1,52,https://hajj.nusuk.sa/sp/package/summary/4c730000-56b2-0050-27fd-08dc2f58becb
Ithraa alkhair for pilgrims services,Ithraa Al Khair 59,47678.1,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,80,79,2024-02-17T15:09:18.7671073,1,80,https://hajj.nusuk.sa/sp/package/summary/4c5d0000-56b2-0050-300d-08dc2fca69fa
Al Bait Guests for Pilgrims Services,C3000 Luxury Non Shifting Express,47950.54,10,2024-06-10,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,305,298,2024-02-06T08:21:40.7024167,7,46,https://hajj.nusuk.sa/sp/package/summary/98470000-56b2-0050-7012-08dc26eca54a
Al Bait Guests for Pilgrims Services,D1200 Premium Non Shifting Express,47950.54,13,2024-06-10,2024-06-23,Premium,Zone A,Majar AlKabsh Camp,130,126,2024-02-15T00:36:54.8108809,4,42,https://hajj.nusuk.sa/sp/package/summary/18550000-56b2-0050-d1ef-08dc2dbe35b8
Ithraa alkhair for pilgrims services,Ithraa Al Khair 07,48211.15,15,2024-06-10,2024-06-25,Luxury,Zone A,Majar AlKabsh Camp,188,184,2024-02-10T13:39:49.5180857,4,48,https://hajj.nusuk.sa/sp/package/summary/dc950000-56b2-0050-8e1f-08dc2a3dc0c3
Ithraa alkhair for pilgrims services,ITHRAA AL KHIR 03,48376.88,13,2024-06-11,2024-06-24,Luxury,Zone A,Majar AlKabsh Camp,97,95,2024-02-14T21:35:45.2877373,2,49,https://hajj.nusuk.sa/sp/package/summary/48ab0000-56b2-0050-3630-08dc2da4e6fb
Ithraa alkhair for pilgrims services,Ithraa Al Khair 30,48917.71,15,2024-06-05,2024-06-20,Luxury,Zone A,AlMuaisim Camp,90,88,2024-02-10T13:33:08.6782613,2,47,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-408d-08dc2a3cd1d8
Ithraa alkhair for pilgrims services,Ithraa Al Khair 33,48938.58,14,2024-06-06,2024-06-20,Luxury,Zone A,AlMuaisim Camp,80,78,2024-02-10T13:44:38.416582,2,47,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-f7b9-08dc2a3e6cf5
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,GMK Hajj Jameel Saja  1,48983.3,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,500,496,2024-02-19T16:39:14.431106,4,125,https://hajj.nusuk.sa/sp/package/summary/185c0000-56b2-0050-ad09-08dc31694ede
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,GMK Hajj Jameel Shaza Regency,48983.3,14,2024-06-07,2024-06-21,Standard,Zone A,Majar AlKabsh Camp,300,296,2024-02-19T18:33:50.2696642,4,80,https://hajj.nusuk.sa/sp/package/summary/185c0000-56b2-0050-60a6-08dc31795130
MCDC For Hajj And Umrah servises,MCDC6666AMX,49194.64,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,52,51,2024-02-27T00:37:06.6973126,1,52,https://hajj.nusuk.sa/sp/package/summary/383f0000-56b2-0050-8bad-08dc372c39c3
Ithraa alkhair for pilgrims services,Ithraa Al Khair 18,49267.89,14,2024-06-10,2024-06-24,Luxury,None,AlMuaisim Camp,144,141,2024-02-10T13:11:16.2203595,3,49,https://hajj.nusuk.sa/sp/package/summary/c46c0000-56b2-0050-11c7-08dc2a39c38f
Rawaf Mina Company for Pilgrimage Services,RAWAF THE ADRESS 370,49367.55,13,2024-06-07,2024-06-20,Standard,None,Majar AlKabsh Camp,80,79,2024-02-27T13:33:06.2453767,1,80,https://hajj.nusuk.sa/sp/package/summary/603a0000-56b2-0050-c602-08dc3798a16a
Ithraa alkhair for pilgrims services,Ithraa Al Khair 58,49500.78,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,16,15,2024-02-16T21:00:25.864612,1,16,https://hajj.nusuk.sa/sp/package/summary/a4700000-56b2-0050-6863-08dc2f324c88
Ithraa alkhair for pilgrims services,Ithraa Al Khair 23,49607.68,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,368,361,2024-02-10T13:27:13.4702872,7,60,https://hajj.nusuk.sa/sp/package/summary/548a0000-56b2-0050-d107-08dc2a3bfe1f
Al Bait Guests for Pilgrims Services,D3100 Luxury Non Shifting Express,49950.37,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,141,138,2024-02-26T10:41:36.9169202,3,47,https://hajj.nusuk.sa/sp/package/summary/342b0000-56b2-0050-192f-08dc36b78216
Al Bait Guests for Pilgrims Services,D1100 Luxury Non Shifting Classic,49950.54,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,94,91,2024-02-18T12:17:53.0420652,3,46,https://hajj.nusuk.sa/sp/package/summary/bc950000-56b2-0050-d99a-08dc307ba19e
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,Hajj Jameel Dalah Taibah,49975.44,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,1000,990,2024-02-18T12:51:52.2037737,10,100,https://hajj.nusuk.sa/sp/package/summary/443a0000-56b2-0050-3bd7-08dc3080610e
SEERA GROUP HOLDING,MAW Elite DST 0002,50500.0,10,2024-06-10,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,200,196,2024-02-19T12:36:30.2156945,4,50,https://hajj.nusuk.sa/sp/package/summary/00260000-56b2-0050-c487-08dc314765eb
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,DS Hajj Jameel Crowne Plaza 1,51779.8,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,248,246,2024-02-22T10:34:57.3480918,2,125,https://hajj.nusuk.sa/sp/package/summary/2c810000-56b2-0050-bbd1-08dc3391ea45
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,HFC Hajj Jameel Anawr Movenpick,51974.28,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,400,396,2024-02-19T09:19:42.0120626,4,100,https://hajj.nusuk.sa/sp/package/summary/dc820000-56b2-0050-e216-08dc312be7ae
Abdul Lateef Jameel Real Estate Investment Co. Ltd.,DS Hajj Jameel Crowne Plaza,51975.43,13,2024-06-10,2024-06-23,Luxury,Zone A,Majar AlKabsh Camp,248,246,2024-02-21T09:29:02.6480031,2,125,https://hajj.nusuk.sa/sp/package/summary/3c9f0000-56b2-0050-a389-08dc32bf8aac
Rawaf Mina Company for Pilgrimage Services,RAWAF SWISS AL MAQAM 101,52344.55,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,156,152,2024-02-21T11:53:48.7348541,4,46,https://hajj.nusuk.sa/sp/package/summary/68670000-56b2-0050-4f2f-08dc32d3c3fc
Ithraa alkhair for pilgrims services,Ithraa Al Khair 31,52691.63,14,2024-06-10,2024-06-24,Luxury,Zone A,AlMuaisim Camp,32,31,2024-02-10T13:39:30.3987357,1,32,https://hajj.nusuk.sa/sp/package/summary/d4810000-56b2-0050-2c98-08dc2a3db55e
Al Bait Guests for Pilgrims Services,C1000 Luxury Non Shifting Classic,52950.54,13,2024-06-07,2024-06-20,Luxury,Zone A,Majar AlKabsh Camp,265,258,2024-02-15T00:05:27.0396797,7,42,https://hajj.nusuk.sa/sp/package/summary/28940000-56b2-0050-cb6f-08dc2db9d085
Al Burj International Company,Al Burj Luxury DS Executive B Package,53777.24,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,298,291,2024-02-20T10:43:51.6419351,7,47,https://hajj.nusuk.sa/sp/package/summary/88980000-56b2-0050-010a-08dc3200d3e9
SEERA GROUP HOLDING,MAW Elite DST 0001,54490.0,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,98,96,2024-02-21T12:08:40.3847099,2,50,https://hajj.nusuk.sa/sp/package/summary/d4950000-56b2-0050-47a9-08dc32d5d773
Rawaf Mina Company for Pilgrimage Services,RAWAF THE ADRESS 102,54750.84,13,2024-06-07,2024-06-20,Luxury,None,Majar AlKabsh Camp,120,118,2024-02-27T13:28:15.4039224,2,60,https://hajj.nusuk.sa/sp/package/summary/cc240000-56b2-0050-e3ac-08dc3797f40f
Al Burj International Company,Al Burj Luxury DS Executive A Package,54948.96,11,2024-06-10,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,146,142,2024-02-19T23:44:24.2191263,4,47,https://hajj.nusuk.sa/sp/package/summary/fc3a0000-56b2-0050-6b87-08dc31a4b3e3
Al Burj International Company,Al Burj Luxury DS Signature B Package,55952.11,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,98,95,2024-02-20T12:12:55.6498547,3,47,https://hajj.nusuk.sa/sp/package/summary/94650000-56b2-0050-e665-08dc320d452f
Al Burj International Company,Al Burj Luxury DS Signature A Package,58775.21,14,2024-06-07,2024-06-21,Luxury,Zone A,Majar AlKabsh Camp,98,95,2024-02-20T11:37:32.2185192,3,47,https://hajj.nusuk.sa/sp/package/summary/788e0000-56b2-0050-fdcc-08dc32085385